                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                0.60835,                0.62165,                0.90726,                 0.8101,                0.98728,                0.85541,                0.76051,                0.49578,                0.44287,                0.86339,              0.0095248,              0.0095248,              0.0095248
                     50,                0.60102,                0.62531,                0.90528,                0.81385,                0.99324,                0.86124,                0.76736,                0.48592,                0.44416,                0.86029,              0.0095149,              0.0095149,              0.0095149
                     51,                0.60407,                0.60953,                0.90274,                0.81921,                0.99144,                 0.8632,                0.77283,                0.49584,                0.43204,                0.86339,               0.009505,               0.009505,               0.009505
                     52,                0.57502,                0.60805,                0.89457,                0.81691,                0.99079,                0.87362,                0.78161,                0.49056,                0.43783,                0.86188,              0.0094951,              0.0094951,              0.0094951
                     53,                0.58876,                0.62983,                0.90292,                0.81736,                0.97841,                0.85714,                0.77036,                 0.4892,                0.42743,                0.86176,              0.0094852,              0.0094852,              0.0094852
                     54,                0.59878,                0.63068,                0.90563,                0.81016,                0.97485,                0.85184,                0.76141,                0.49562,                 0.4581,                0.86089,              0.0094753,              0.0094753,              0.0094753
                     55,                0.59411,                0.62607,                0.90348,                0.80443,                0.97742,                0.85089,                0.76171,                0.49485,                0.46033,                0.86303,              0.0094654,              0.0094654,              0.0094654
                     56,                0.58534,                0.61611,                0.89544,                0.81752,                0.99324,                0.85255,                0.76218,                 0.5026,                0.44432,                0.86636,              0.0094555,              0.0094555,              0.0094555
                     57,                0.59855,                 0.6331,                0.90742,                0.81327,                0.99116,                0.85406,                0.76888,                0.47847,                0.43279,                0.85835,              0.0094456,              0.0094456,              0.0094456
                     58,                0.57982,                0.60308,                0.89818,                0.80604,                0.98945,                 0.8403,                0.75682,                0.49386,                0.43928,                0.86513,              0.0094357,              0.0094357,              0.0094357
                     59,                0.59409,                0.59958,                0.90686,                0.80376,                0.98182,                0.85417,                0.76496,                0.49767,                0.47147,                0.86603,              0.0094258,              0.0094258,              0.0094258
